match_id,game_id,team,score_team,opponent,score_opp,win_lose,map,map_pick,player_id,player,agent,rating,acs,kill,death,assist,kast%,adr,hs%,fk,fd
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,saadhak,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,silentzz,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,silentzz,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,silentzz,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,trent,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,trent,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,trent,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,valyn,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,valyn,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,valyn,Unknown,,,0,0,0,,,,,
706365,0,100 Thieves,0,Sentinels,0,opponent win,N/A,N/A,0,Asuna,Unknown,,,0,0,0,,,,,
706365,0,100 Thieves,0,Sentinels,0,opponent win,N/A,N/A,0,Asuna,Unknown,,,0,0,0,,,,,
706365,0,100 Thieves,0,Sentinels,0,opponent win,N/A,N/A,0,Asuna,Unknown,,,0,0,0,,,,,
706365,0,100 Thieves,0,Sentinels,0,opponent win,N/A,N/A,0,Cryocells,Unknown,,,0,0,0,,,,,
706365,0,100 Thieves,0,Sentinels,0,opponent win,N/A,N/A,0,Cryocells,Unknown,,,0,0,0,,,,,
706365,0,100 Thieves,0,Sentinels,0,opponent win,N/A,N/A,0,Cryocells,Unknown,,,0,0,0,,,,,
706365,0,100 Thieves,0,Sentinels,0,opponent win,N/A,N/A,0,Jerrwin,Unknown,,,0,0,0,,,,,
706365,0,100 Thieves,0,Sentinels,0,opponent win,N/A,N/A,0,Jerrwin,Unknown,,,0,0,0,,,,,
